Manifesto;Filial;Data;Veículo;Destino;Serviços;NFs;Kg Real;Kg Taxado;M3;Vale frete;Valor NF;Valor Fretes;Valor Final;% Aprov. Veículo;Km saída;Km chegada;Km final;Classificação;Observações operacionais;Status;Usuário
77969;LSP REIS MATRIZ SJC;12/09/2025;DUO3J54;São José dos Campos;22;30;1526;1526;0;487;46309;756;756;95;158133;158194;61;MINERVA;59,88 KM;Em trânsito;Matheus Antonioli
77970;LSP REIS MATRIZ SJC;12/09/2025;MKR1F49;Mogi das Cruzes, Guararema;18;24;1365;1365;0;612;49156;918;918;85;399365;399540;175;MINERVA;183,14 KM;Finalizado;Matheus Antonioli
77971;LSP REIS MATRIZ SJC;12/09/2025;IVA8F85;Guarujá;19;21;1383;1383;0;819;40697;1220;1220;86;187055;187450;395;MINERVA;349,39 KM;Finalizado;Matheus Antonioli
77972;LSP REIS MATRIZ SJC;12/09/2025;ENK8J39;São José dos Campos, Jacareí;25;27;1551;1551;0;491;42601;727;727;96;523129;523211;82;MINERVA;78,08 KM;Em trânsito;Matheus Antonioli
77973;LSP REIS MATRIZ SJC;12/09/2025;FKC0F45;Igaratá, Atibaia;2;3;63;63;0;501;1087;52;52;8;232286;232595;309;FRZ Log;EMBARCADO AS NFS: 393074 393076 202815 421122 257847 393072 202811 421121 257404;Finalizado;Juliana Curi Ferreira
77974;LSP REIS MATRIZ SJC;12/09/2025;QDA4J20;Caçapava, Paraibuna;5;12;1776;1776;0;629;25103;1364;1364;111;139180;139338;158;FRZ Log;;Finalizado;Juliana Curi Ferreira
77975;LSP REIS MATRIZ SJC;12/09/2025;FLF2A46;Ilhabela, Caraguatatuba;12;14;1286;1286;0;730;53483;1116;1116;85;155917;156199;282;MINERVA;292,34 KM;Finalizado;Matheus Antonioli
77976;LSP REIS MATRIZ SJC;12/09/2025;FLF2B50;São Sebastião, Caraguatatuba, Bertioga, Santos;22;28;1353;1353;0;809;46535;1302;1302;84;237522;237876;354;MINERVA;394,66 KM;Finalizado;Matheus Antonioli
77977;LSP REIS MATRIZ SJC;12/09/2025;EFU4B04;Lorena, Cachoeira Paulista, Canas, Cruzeiro;4;10;1223;1223;0;797;18680;1012;1012;76;776655;776998;343;FRZ Log;;Finalizado;Juliana Curi Ferreira
77978;LSP REIS MATRIZ SJC;12/09/2025;EWR1B31;Caraguatatuba;1;7;1151;1151;0;779;9734;1046;1046;76;616957;617240;283;FRZ Log;EMBARCADO A NFS: 393081 393085;Finalizado;Juliana Curi Ferreira
77979;LSP REIS MATRIZ SJC;12/09/2025;ERR0E11;Ubatuba, Caraguatatuba;21;30;1410;1410;0;816;51786;1158;1158;94;525918;526278;360;MINERVA;315,09 KM;Finalizado;Matheus Antonioli
